Период уплаты премии;Возраст Застрахованного;Пол;Смерть ЛП;Инвалидность 1,2. гр. ЛП;Смерть НС;Смерть ДТП;Травма;"КЗ РФ
Взнос";"КЗ Зарубеж
Взнос";i
3;39;m;0,29880%;0,06078%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;40;m;0,31549%;0,06865%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;41;m;0,33372%;0,07700%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;42;m;0,35378%;0,08665%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;43;m;0,37596%;0,09730%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;44;m;0,40023%;0,10880%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;45;m;0,42651%;0,12096%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;46;m;0,45489%;0,13367%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;47;m;0,48574%;0,14712%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;48;m;0,51942%;0,16425%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;49;m;0,55565%;0,18300%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;50;m;0,59409%;0,20341%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;51;m;0,63450%;0,22193%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;52;m;0,67732%;0,24135%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;53;m;0,72305%;0,26141%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;54;m;0,77139%;0,28225%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;55;m;0,82193%;0,30415%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;56;m;0,87448%;0,32736%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;57;m;0,92992%;0,35230%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;58;m;0,98908%;0,37919%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;59;m;1,05213%;0,40841%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;60;m;1,11876%;0,43991%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
3;61;m;1,18914%;0,47356%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
